Code ISIN;Libellé du fonds;Société de gestion;Catégorie Morningstar;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %
FR0007078811;ODDO BHF Métropole Sélection CRw EUR;ODDO BHF Asset Management SAS;"ACTIONS EUROPE GDES CAP. ""VALUE""";5;1,50%;0,60%;2,10%
FR0007371729;Vendôme Sélection PC;CA Indosuez Gestion;ACTIONS FRANCE PETITES & MOY. CAP.;4;1,95%;0,60%;2,55%
FR0007390174;CM-AM SICAV - CM-AM Global Gold RC;Credit Mutuel Asset Management;ACTIONS SECTEUR METAUX PRECIEUX;6;2,00%;0,60%;2,60%
FR0007450002;CG Nouvelle Asie C;Comgest SA;ACTIONS ASIE-PACIFIQUE HORS JAPON;4;2,50%;0,60%;3,10%
FR0007457890;R-co Thematic Real Estate C;Rothschild & Co Asset Management;IMMOBILIER - INDIRECT EUROPE;5;1,50%;0,60%;2,10%
FR0007468798;R-co Thematic Family Businesses C EUR;Rothschild & Co Asset Management;ACTIONS ZONE EURO PETITES CAP.;4;1,70%;0,60%;2,30%
FR0010011171;AXA Or et Matières Premières C;AXA Investment Managers Paris S.A.;ACTIONS SECTEUR MATIERES PREMIERES;5;2,00%;0,60%;2,60%
FR0010058008;DNCA Value Europe C;DNCA Finance;"ACTIONS EUROPE GDES CAP. ""VALUE""";4;2,39%;0,60%;2,99%
FR0010058529;THEMATICS EUROPE SELECTION R (C);Natixis Investment Managers International;ACTIONS EUROPE FLEX CAP;4;1,79%;0,60%;2,39%
FR0010058628;HSBC Small Cap France A;HSBC Global Asset Management (France);ACTIONS FRANCE PETITES & MOY. CAP.;5;2,10%;0,60%;2,70%
FR0010077412;BNP Paribas Développement Humain Classic;BNP PARIBAS ASSET MANAGEMENT Europe;ACTIONS EUROPE GDES CAP. MIXTE;4;1,50%;0,60%;2,10%
FR0010077859;BNP Paribas Midcap France Classic D;BNP PARIBAS ASSET MANAGEMENT Europe;ACTIONS FRANCE;5;1,40%;0,60%;2,00%
FR0010108662;Arkéa Select - Actions Europe P;Arkéa Asset Management;ACTIONS EUROPE FLEX CAP;4;1,60%;0,60%;2,20%
FR0010109140;Montségur Croissance C;Montségur Finance;ACTIONS EUROPE GDES CAP. CROISSANCE;4;2,60%;0,60%;3,20%
FR0010119917;Lazard Actifs Réels C;Lazard Frères Gestion;IMMOBILIER - INDIRECT EUROPE;5;1,50%;0,60%;2,10%
FR0010128587;BNP Paribas Smallcap Euroland Responsable Classic C;BNP PARIBAS ASSET MANAGEMENT Europe;ACTIONS EUROPE ZONE EURO PETITES & MOY. CAP.;4;1,50%;0,60%;2,10%
FR0010143545;HSBC Actions Patrimoine AC;HSBC Global Asset Management (France);ACTIONS FRANCE;5;1,60%;0,60%;2,20%
FR0010148981;Carmignac Investissement A EUR Acc;Carmignac Gestion;ACTIONS MONDE GDES CAP.;4;1,50%;0,60%;2,10%
FR0010149302;Carmignac Emergents A EUR Acc;Carmignac Gestion;ACTIONS MARCHÉS EMERGENTS;4;1,50%;0,60%;2,10%
FR0010153320;Amundi Actions USA Responsable P C;Amundi Asset Management;ACTIONS ETATS-UNIS GDES CAP. MIXTE;5;1,60%;0,60%;2,20%
FR0010158048;Dorval Drivers Europe R C;Dorval Asset Management;ACTIONS EUROPE GDES CAP. CROISSANCE;4;2,00%;0,60%;2,60%
FR0010174144;BDL Rempart C;BDL Capital Management;PERFORMANCE ABSOLUE EUR;3;2,25%;0,60%;2,85%
FR0010178665;Gay-Lussac Green Impact A;Gay-Lussac Gestion;ACTIONS EUROPE GDES CAP. MIXTE;4;2,32%;0,60%;2,92%
FR0010187898;R-co Conviction Equity Value Euro C EUR;Rothschild & Co Asset Management;ACTIONS EUROPE ZONE EURO;5;1,50%;0,60%;2,10%
FR0010188383;Amundi Actions Emergents P C;Amundi Asset Management;ACTIONS MARCHÉS EMERGENTS;4;2,03%;0,60%;2,63%
FR0010223537;Delubac Pricing Power P;Delubac Asset Management;ACTIONS EUROPE GDES CAP. MIXTE;5;2,15%;0,60%;2,75%
FR0010237503;Roche-Brune Europe Valeurs Responsables P;Apicil Asset Management;ACTIONS EUROPE FLEX CAP;4;2,00%;0,60%;2,60%
FR0010241240;HMG Globetrotter C;HMG Finance;ACTIONS MARCHÉS EMERGENTS;3;2,39%;0,60%;2,99%
FR0010245514;Amundi Japan TOPIX II UCITS ETF EUR Dist;Amundi Asset Management;ACTIONS JAPON;4;0,45%;0,60%;1,05%
FR0010283838;Stratégie Euro Dividendes Responsables P;Apicil Asset Management;ACTIONS EUROPE ZONE EURO;4;1,65%;0,60%;2,25%
FR0010286005;Sextant PEA A;Amiral Gestion;ACTIONS ZONE EURO PETITES CAP.;4;2,30%;0,60%;2,90%
FR0010288308;Groupama Avenir Euro NC;Groupama Asset Management;ACTIONS EUROPE ZONE EURO PETITES & MOY. CAP.;5;2,00%;0,60%;2,60%
FR0010298596;Moneta Multi Caps C;Moneta Asset Management;ACTIONS FRANCE;4;1,50%;0,60%;2,10%
FR0010302398;BNP Paribas Euro Climate Aligned Classic C;BNP PARIBAS ASSET MANAGEMENT Europe;ACTIONS EUROPE GDES CAP. MIXTE;4;1,50%;0,60%;2,10%
FR0010315770;Amundi MSCI World II UCITS ETF Dist;Amundi Asset Management;ACTIONS MONDE GDES CAP.;4;0,30%;0,60%;0,90%
FR0010321802;Echiquier Agressor A;La Financière de l'Echiquier;ACTIONS EUROPE FLEX CAP;4;2,25%;0,60%;2,85%
FR0010321810;Echiquier Agenor SRI Mid Cap Europe A;La Financière de l'Echiquier;ACTIONS EUROPE MOYENNES CAP.;4;2,39%;0,60%;2,99%
FR0010321828;Echiquier Major SRI Growth Europe A;La Financière de l'Echiquier;ACTIONS EUROPE GDES CAP. CROISSANCE;4;2,39%;0,60%;2,99%
FR0010341800;Palatine Planète I;Palatine Asset Management;ACTIONS SECTEUR ENVIRONNEMENT;4;1,50%;0,60%;2,10%
FR0010342592;Amundi Nasdaq-100 Daily (2x) Leveraged UCITS ETF Acc;Amundi Asset Management;ACTIONS THEMATIQUES;7;0,60%;0,60%;1,20%
FR0010361683;Amundi MSCI India II UCITS ETF EUR Acc;Amundi Asset Management;ACTIONS MARCHÉS EMERGENTS ASIE;5;0,85%;0,60%;1,45%
FR0010376343;Sycomore Sélection Midcap A;Sycomore Asset Management;ACTIONS EUROPE ZONE EURO PETITES & MOY. CAP.;4;1,50%;0,60%;2,10%
FR0010376368;Sycomore Sélection Midcap R;Sycomore Asset Management;ACTIONS EUROPE ZONE EURO PETITES & MOY. CAP.;4;2,00%;0,60%;2,60%
FR0010380675;Lazard Actions Emergentes R;Lazard Frères Gestion;ACTIONS MARCHÉS EMERGENTS;4;2,15%;0,60%;2,75%
FR0010392225;Varenne Selection A-EUR;Varenne Capital Partners;PERFORMANCE ABSOLUE INTERNATIONALE;4;1,95%;0,60%;2,55%
FR0010429068;Amundi MSCI Emerging Markets III UCITS ETF EUR Acc;Amundi Asset Management;ACTIONS MARCHÉS EMERGENTS;4;0,55%;0,60%;1,15%
FR0010458745;Amundi Actions Euro Responsable P C;Amundi Asset Management;ACTIONS EUROPE ZONE EURO;4;1,20%;0,60%;1,80%
FR0010466128;Pluvalca Alterna Plus A;Montpensier Arbevel;ALLOCATION D'ACTIFS EUR PRUDENTE;2;1,20%;0,60%;1,80%
FR0010468983;Amundi EURO STOXX 50 Daily (2x) Leveraged UCITS ETF Acc;Amundi Asset Management;ACTIONS THEMATIQUES;7;0,40%;0,60%;1,00%
FR0010479931;Edmond de Rothschild India A EUR accumulating;Edmond de Rothschild Asset Management (France);ACTIONS MARCHÉS EMERGENTS ASIE;5;1,85%;0,60%;2,45%
FR0010505578;EdR SICAV - Euro Sustainable Equity A EUR;Edmond de Rothschild Asset Management (France);ACTIONS EUROPE ZONE EURO;4;1,95%;0,60%;2,55%
FR0010527275;Amundi MSCI Water ESG Screened UCITS ETF Dist;Amundi Asset Management;THEMATIQUES WATER;4;0,60%;0,60%;1,20%
FR0010546929;Tocqueville Dividende C;La Financière de l'Echiquier;ACTIONS SECTEUR DIVIDENDES;4;2,39%;0,60%;2,99%
FR0010546937;Tocqueville Dividende D;La Financière de l'Echiquier;ACTIONS SECTEUR DIVIDENDES;4;2,39%;0,60%;2,99%
FR0010546945;Tocqueville Megatrends C;La Financière de l'Echiquier;ACTIONS EUROPE FLEX CAP;4;1,99%;0,60%;2,59%
FR0010546960;Tocqueville France C;La Financière de l'Echiquier;ACTIONS FRANCE;4;1,99%;0,60%;2,59%
FR0010547067;Echiquier Value Europe P;La Financière de l'Echiquier;"ACTIONS EUROPE GDES CAP. ""VALUE""";5;2,39%;0,60%;2,99%
FR0010547869;Sextant Pme;Amiral Gestion;ACTIONS ZONE EURO PETITES CAP.;4;2,30%;0,60%;2,90%
FR0010554303;Mandarine Valeur R;Mandarine Gestion;"ACTIONS EUROPE GDES CAP. ""VALUE""";5;2,04%;0,60%;2,64%
FR0010574434;ODDO BHF Génération CR-EUR;ODDO BHF Asset Management SAS;ACTIONS EUROPE ZONE EURO;5;2,00%;0,60%;2,60%
FR0010588343;EdR SICAV - Tricolore Convictions A EUR;Edmond de Rothschild Asset Management (France);ACTIONS FRANCE;4;1,95%;0,60%;2,55%
FR0010591362;Amundi CAC 40 Daily (-1x) Inverse UCITS ETF Acc;Amundi Asset Management;ACTIONS FRANCE;6;0,40%;0,60%;1,00%
FR0010592014;Amundi CAC 40 Daily (2x) Leveraged UCITS ETF Acc;Amundi Asset Management;ACTIONS THEMATIQUES;7;0,40%;0,60%;1,00%
FR0010592022;Ecofi Enjeux Futurs C;Ecofi Investissements;ACTIONS SECTEUR ENVIRONNEMENT;4;2,00%;0,60%;2,60%
FR0010601971;HMG Découvertes C;HMG Finance;ACTIONS FRANCE PETITES & MOY. CAP.;3;2,35%;0,60%;2,95%
FR0010632364;ODDO BHF Métropole Euro CRw EUR;ODDO BHF Asset Management SAS;ACTIONS EUROPE ZONE EURO;5;1,50%;0,60%;2,10%
FR0010642280;Ecofi Agir Pour Le Climat C;Ecofi Investissements;ACTIONS SECTEUR ENVIRONNEMENT;4;2,00%;0,80%;2,80%
FR0010649772;Tocqueville Materials for the Future P;La Financière de l'Echiquier;ACTIONS SECTEUR METAUX PRECIEUX;6;2,00%;0,60%;2,60%
FR0010651224;BDL Convictions C;BDL Capital Management;ACTIONS EUROPE FLEX CAP;5;2,00%;0,60%;2,60%
FR0010657122;Mandarine Opportunités R;Mandarine Gestion;ACTIONS FRANCE;5;2,20%;0,60%;2,80%
FR0010668145;BNP Paribas Aqua Classic;BNP PARIBAS ASSET MANAGEMENT Europe;THEMATIQUES WATER;4;2,00%;0,60%;2,60%
FR0010679886;Lazard Actions Euro R;Lazard Frères Gestion;ACTIONS EUROPE ZONE EURO;4;0,09%;0,60%;0,69%
FR0010679902;Lazard Small Caps France R;Lazard Frères Gestion;ACTIONS FRANCE PETITES & MOY. CAP.;4;2,18%;0,60%;2,78%
FR0010687749;Mandarine Premium Europe R;Mandarine Gestion;ACTIONS EUROPE MOYENNES CAP.;4;2,25%;0,60%;2,85%
FR0010689141;Lazard Small Caps Euro R;Lazard Frères Gestion;ACTIONS ZONE EURO PETITES CAP.;4;2,20%;0,60%;2,80%
FR0010738153;Agora Actions Euro R;OTEA Capital;ACTIONS EUROPE ZONE EURO;4;2,50%;0,60%;3,10%
FR0010784835;R-co 4Change Net Zero Equity Euro C EUR;Rothschild & Co Asset Management;ACTIONS EUROPE ZONE EURO;5;1,57%;0,80%;2,37%
FR0010830240;Lazard Alpha Euro R;Lazard Frères Gestion;ACTIONS EUROPE ZONE EURO;5;1,98%;0,60%;2,58%
FR0010859769;Echiquier World Equity Growth A;La Financière de l'Echiquier;ACTIONS MONDE GDES CAP.;4;2,25%;0,60%;2,85%
FR0010863688;Echiquier Positive Impact Europe A;La Financière de l'Echiquier;ACTIONS EUROPE FLEX CAP;4;1,80%;0,60%;2,40%
FR0010869578;Amundi German Bund Daily (-2x) Inverse UCITS ETF Acc;Amundi Asset Management;DIVERSIFIES;5;0,20%;0,60%;0,80%
FR0010909531;R-co Thematic Silver Plus C;Rothschild & Co Asset Management;ACTIONS SECTEUR SANTE;4;1,50%;0,60%;2,10%
FR0010915181;Palatine Europe Sustainable Employment Palatine;Palatine Asset Management;ACTIONS EUROPE ZONE EURO;4;1,20%;0,60%;1,80%
FR0010917658;CPR Silver Age E;CPR Asset Management;ACTIONS EUROPE GDES CAP. CROISSANCE;4;2,20%;0,60%;2,80%
FR0010922963;Sunny Managers F;Sunny Asset Management;ACTIONS FRANCE PETITES & MOY. CAP.;4;2,39%;0,60%;2,99%
FR0011169341;Sycomore Sélection Responsable R;Sycomore Asset Management;ACTIONS EUROPE ZONE EURO;4;2,00%;0,60%;2,60%
FR0011170182;Ofi Invest Precious Metals R;OFI Invest Asset Management;MATIERES PREMIERES - OR;5;1,50%;0,60%;2,10%
FR0011212547;RMM Actions USA C EUR;Rothschild & Co Asset Management;ACTIONS ETATS-UNIS GDES CAP. MIXTE;5;1,50%;0,60%;2,10%
FR0011268705;GemEquity R;Gemway Assets;ACTIONS MARCHÉS EMERGENTS;4;2,10%;0,60%;2,70%
FR0011271550;Keren Essentiels C;Keren Finance;ACTIONS FRANCE PETITES & MOY. CAP.;4;2,00%;0,60%;2,60%
FR0011315696;Pluvalca Initiatives PME A;Montpensier Arbevel;ACTIONS FRANCE PETITES & MOY. CAP.;4;2,00%;0,60%;2,60%
FR0011360700;Echiquier Value Euro A;La Financière de l'Echiquier;ACTIONS EUROPE ZONE EURO;4;2,39%;0,60%;2,99%
FR0011449602;Echiquier World Next Leaders A;La Financière de l'Echiquier;ACTIONS THEMATIQUES;5;1,65%;0,60%;2,25%
FR0011466093;Quadrige France Smallcaps C;Groupama Asset Management;ACTIONS FRANCE PETITES & MOY. CAP.;4;2,00%;0,60%;2,60%
FR0011474980;Norden Small IC;Lazard Frères Gestion;ACTIONS EUROPE DU NORD PETITES & MOY. CAP.;5;2,00%;0,60%;2,60%
FR0011475078;Amundi Japan TOPIX II UCITS ETF EUR Hedged Dist;Amundi Asset Management;ACTIONS JAPON;4;0,45%;0,60%;1,05%
FR0011550185;BNP Paribas Easy S&P 500 UCITS ETF EUR C;BNP PARIBAS ASSET MANAGEMENT Europe;ACTIONS ETATS-UNIS GDES CAP. MIXTE;5;0,12%;0,60%;0,72%
FR0011558246;Echiquier Entrepreneurs A;La Financière de l'Echiquier;ACTIONS EUROPE HORS UK PETITES & MOY. CAP.;4;2,39%;0,60%;2,99%
FR0011640887;Erasmus Small Cap Europe R;Erasmus Gestion;ACTIONS ZONE EURO PETITES CAP.;4;2,40%;0,60%;3,00%
FR0011660927;Amundi MSCI World II UCITS ETF EUR Hedged Dist;Amundi Asset Management;ACTIONS MONDE GDES CAP.;4;0,30%;0,60%;0,90%
FR0011689330;Richelieu Family R;Richelieu Invest;ACTIONS EUROPE HORS UK PETITES & MOY. CAP.;4;1,80%;0,60%;2,40%
FR0011694256;Sofidy Sélection 1 P;Sofidy;IMMOBILIER - INDIRECT EUROPE;4;2,00%;0,60%;2,60%
FR0011720911;Amundi MSCI China A UCITS ETF Acc;Amundi Asset Management;ACTIONS CHINE - A SHARES;5;0,35%;0,60%;0,95%
FR0011871078;Amundi PEA Chine (MSCI China) Screened UCITS ETF - Acc;Amundi Asset Management;ACTIONS CHINE;5;0,65%;0,60%;1,25%
FR0011871110;Amundi PEA Nasdaq-100 UCITS ETF Acc;Amundi Asset Management;ACTIONS ETATS-UNIS GDES CAP. CROISSANCE;5;0,30%;0,60%;0,90%
FR0011891506;DNCA Actions Euro PME R;DNCA Finance;ACTIONS EUROPE ZONE EURO PETITES & MOY. CAP.;4;2,00%;0,60%;2,60%
FR0012020741;Kirao Multicaps AC;Kirao;ACTIONS FRANCE;4;2,35%;0,60%;2,95%
FR0012316180;DNCA Opportunites Zone Euro C;DNCA Finance;ACTIONS EUROPE ZONE EURO;5;2,00%;0,60%;2,60%
FR0012633311;Kirao Smallcaps AC;Kirao;ACTIONS EUROPE HORS UK PETITES & MOY. CAP.;4;2,35%;0,60%;2,95%
FR0013072097;Quadrige Europe Midcaps C;Groupama Asset Management;ACTIONS ZONE EURO PETITES CAP.;4;2,00%;0,60%;2,60%
FR0013076528;Pluvalca Disruptive Opportunities A;Montpensier Arbevel;ACTIONS SECTEUR TECHNOLOGIES;4;2,00%;0,60%;2,60%
FR0013219243;EdR SICAV - Equity Euro Solve A EUR;Edmond de Rothschild Asset Management (France);DIVERSIFIES EUR FLEXIBLES;4;1,45%;0,60%;2,05%
FR0013267150;Ofi Invest ESG Equity Climate Focus RC;OFI Invest Asset Management;ACTIONS SECTEUR ENVIRONNEMENT;4;1,80%;0,60%;2,40%
FR0013275112;Ofi Invest ESG Euro Equity R;OFI Invest Asset Management;ACTIONS EUROPE ZONE EURO;4;1,80%;0,60%;2,40%
FR0013329778;Yomoni Monde ISR A;Yomoni;ACTIONS MONDE GDES CAP.;4;1,30%;0,60%;1,90%
FR0013329786;Yomoni Allocation A;Yomoni;DIVERSIFIES INTERNATIONAUX FLEXIBLES;3;1,30%;0,60%;1,90%
FR0013351285;HMG Découvertes PME C;HMG Finance;ACTIONS FRANCE PETITES & MOY. CAP.;3;2,35%;0,60%;2,95%
FR0013373214;Arkéa Select - Mégatendances P;Arkéa Asset Management;ACTIONS MONDE GDES CAP.;4;0,90%;0,60%;1,50%
FR0013379328;Groupama Actions Europe NA;Groupama Asset Management;ACTIONS EUROPE GDES CAP. MIXTE;4;1,50%;0,60%;2,10%
FR0013383825;Pluvalca Sustainable Opportunities A;Montpensier Arbevel;ACTIONS EUROPE HORS UK PETITES & MOY. CAP.;4;2,20%;0,60%;2,80%
FR0013428927;EdR SICAV - Green New Deal A EUR;Edmond de Rothschild Asset Management (France);ACTIONS SECTEUR ENVIRONNEMENT;4;1,70%;0,60%;2,30%
FR0013432754;ADS Venn Collective Alpha Europe P;Arkéa Asset Management;ACTIONS EUROPE GDES CAP. MIXTE;4;1,80%;0,60%;2,40%
FR0013532710;CPR Ambition France P;CPR Asset Management;ACTIONS FRANCE;4;1,52%;0,60%;2,12%
FR00140052N5;Silver Autonomie R;Colville Capital Partners France;ACTIONS SECTEUR SANTE;4;2,20%;0,80%;3,00%
FR0014008NN3;Ofi Invest Energy Strategic Metals R;OFI Invest Asset Management;ACTIONS SECTEUR ENERGIE;5;1,81%;0,60%;2,41%
FR00140092S0;Terroirs et Avenir : La SICAV du Monde Agricole R;Colville Capital Partners France;ACTIONS SECTEUR MATIERES PREMIERES;4;2,20%;0,80%;3,00%
FR0014009Z77;EdR SICAV European Smaller Companies A EUR;Edmond de Rothschild Asset Management (France);ACTIONS EUROPE HORS UK PETITES & MOY. CAP.;4;1,90%;0,60%;2,50%
FR001400BY52;TF Global Client Focus R;TrusTeam Finance;ACTIONS MONDE GDES CAP.;4;2,20%;0,60%;2,80%
FR001400CEG4;Sextant Quality Focus A;Amiral Gestion;ACTIONS MONDE GDES CAP.;4;1,80%;0,60%;2,40%
FR001400FUB4;EdR SICAV European Catalysts A Eur;Edmond de Rothschild Asset Management (France);ACTIONS EUROPE GDES CAP. MIXTE;4;1,70%;0,60%;2,30%
FR001400HH99;Agora Actions Euro I;OTEA Capital;ACTIONS EUROPE ZONE EURO;4;1,50%;0,60%;2,10%
FR001400UFD0;American Convictions I;OTEA Capital;ACTIONS ETATS-UNIS GDES CAP. MIXTE;4;1,20%;0,60%;1,80%
IE00016PSX47;Amundi MSCI World ESG Selection UCITS ETF ACC;Amundi Ireland Limited;ACTIONS MONDE GDES CAP.;4;0,08%;0,60%;0,68%
IE0003JSNHV9;JPM Global Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - EUR (acc);JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS MONDE GDES CAP.;4;0,00%;0,60%;0,60%
IE0004850503;Barings Emerging Markets Umbrella Fund - Barings Global Emerging Markets Fund Class A EUR Inc;Baring International Fund Mgrs (Ireland) Limited;ACTIONS MARCHÉS EMERGENTS;4;1,50%;0,60%;2,10%
IE0004866665;Barings International Umbrella Fund - Barings Australia Fund Class A EUR Inc;Baring International Fund Mgrs (Ireland) Limited;ACTIONS AUSTRALIE & NOUVELLE-ZÉLANDE;5;1,25%;0,60%;1,85%
IE0004866889;Barings International Umbrella Fund - Barings Hong Kong China Fund Class A EUR Inc;Baring International Fund Mgrs (Ireland) Limited;ACTIONS CHINE;5;1,25%;0,60%;1,85%
IE0004868828;Barings International Umbrella Fund - Barings ASEAN Frontiers Fund Class A EUR Inc;Baring International Fund Mgrs (Ireland) Limited;ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,25%;0,60%;1,85%
IE0009BC6K22;HSBC MSCI Emerging Markets Islamic Screened Capped UCITS ETF USD Acc;HSBC Investment Funds (Luxembourg) S.A.;ACTIONS MARCHÉS EMERGENTS MONDE;6;0,35%;0,60%;0,95%
IE000CN8T855;JPMorgan ETFs (Ireland) ICAV - US Research Enhanced Index Equity Active UCITS ETF - EUR Hedged (acc);JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS ETATS-UNIS GDES CAP. MIXTE;5;0,00%;0,60%;0,60%
IE000COQKPO9;Invesco Markets II plc - Invesco NASDAQ-100 ESG UCITS ETF USD Acc;Invesco Investment Management Limited;ACTIONS ETATS-UNIS GDES CAP. CROISSANCE;5;0,25%;0,60%;0,85%
IE000EFHIFG3;Amundi ETF ICAV - Amundi S&P World Communication Services Screened UCITS ETF Acc;Amundi Ireland Limited;ACTIONS SECTEUR COMMUNICATIONS;5;0,08%;0,60%;0,68%
IE000FCGBU62;Amundi ETF ICAV - Amundi S&P World Materials Screened UCITS ETF Acc;Amundi Ireland Limited;ACTIONS SECTEUR MATIERES PREMIERES;6;0,08%;0,60%;0,68%
IE000IP0UC52;Amundi MSCI USA ESG Selection UCITS ETF Acc EUR HEDGED;Amundi Ireland Limited;ACTIONS ETATS-UNIS GDES CAP. MIXTE;5;0,05%;0,60%;0,65%
IE000J0LN0R5;Amundi ETF ICAV - Amundi S&P World Energy Screened UCITS ETF Acc;Amundi Ireland Limited;ACTIONS SECTEUR ENERGIE;5;0,08%;0,60%;0,68%
IE000K1P4V37;Amundi MSCI World SRI Climate Net Zero Ambition PAB UCITS ETF EUR Hedged Acc;Amundi Ireland Limited;ACTIONS MONDE GDES CAP.;4;0,10%;0,60%;0,70%
IE000KXCEXR3;Amundi S&P 500 Screened UCITS ETF - Acc;Amundi Ireland Limited;ACTIONS ETATS-UNIS GDES CAP. MIXTE;5;0,05%;0,60%;0,65%
IE000LTA2082;Amundi ETF ICAV - Amundi S&P World Industrials Screened UCITS ETF Acc;Amundi Ireland Limited;ACTIONS SECTEUR BIENS INDUSTRIELS;4;0,08%;0,60%;0,68%
