Code ISIN;Libellé du fonds;Société de gestion;Catégorie Morningstar;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %
LU0336083810;Carmignac Portfolio Asia Discovery A EUR Acc;Carmignac Gestion Luxembourg S.A.;ACTIONS MARCHÉS EMERGENTS PETITES & MOY. CAP.;4;2,00%;0,60%;2,60%
LU0340554913;Pictet-Digital P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR TECHNOLOGIES;5;2,40%;0,60%;3,00%
LU0340559557;Pictet-Timber P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR MATIERES PREMIERES;5;2,40%;0,60%;3,00%
LU0347711466;BNP Paribas Funds - Global Environment Classic Capitalisation;BNP Paribas Asset Management Luxembourg;ACTIONS SECTEUR ENVIRONNEMENT;4;1,75%;0,60%;2,35%
LU0366534344;Pictet - Nutrition P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR MATIERES PREMIERES;4;2,40%;0,60%;3,00%
LU0390135415;Templeton Asian Smaller Companies Fund A(acc)EUR;Franklin Templeton International Services S.à r.l.;ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,85%;0,60%;2,45%
LU0390221256;MainFirst Germany Fund A;ETHENEA Independent Investors S.A.;ACTIONS EUROPE HORS UK GDES CAP.;4;1,80%;0,60%;2,40%
LU0391944815;Pictet-Global Megatrend Selection R EUR;Pictet Asset Management (Europe) SA;ACTIONS THEMATIQUES;4;2,90%;0,60%;3,50%
LU0441852612;JPMorgan Funds - ASEAN Equity Fund A (acc) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,50%;0,60%;2,10%
LU0445386369;Nordea 1 - Alpha 10 MA Fund BP EUR;Nordea Investment Funds SA;PERFORMANCE ABSOLUE INTERNATIONALE;4;1,70%;0,60%;2,30%
LU0489687243;Mandarine Funds - Mandarine Unique Small & Mid Caps Europe R;Mandarine Gestion;ACTIONS EUROPE MOYENNES CAP.;4;1,95%;0,60%;2,55%
LU0496786574;Amundi S&P 500 UCITS ETF - D-EUR;Amundi Luxembourg S.A.;ACTIONS ETATS-UNIS GDES CAP. MIXTE;5;0,09%;0,60%;0,69%
LU0496786905;Amundi Australia (S&P/ASX 200) UCITS ETF - D-EUR;Amundi Luxembourg S.A.;ACTIONS AUSTRALIE & NOUVELLE-ZÉLANDE;5;0,40%;0,60%;1,00%
LU0503631714;Pictet - Global Environmental Opportunities P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR ENVIRONNEMENT;4;2,40%;0,60%;3,00%
LU0503932328;Janus Henderson Horizon Pan European Mid and Large Cap Fund A2 EUR;Janus Henderson Investors;ACTIONS EUROPE GDES CAP. MIXTE;4;1,20%;0,60%;1,80%
LU0533032859;Amundi MSCI World Financials UCITS ETF EUR Acc;Amundi Luxembourg S.A.;ACTIONS SECTEUR FINANCIER;5;0,30%;0,60%;0,90%
LU0533033238;Amundi MSCI World Health Care UCITS ETF EUR Acc;Amundi Luxembourg S.A.;ACTIONS SECTEUR SANTE;4;0,30%;0,60%;0,90%
LU0533033667;Amundi MSCI World Information Technology UCITS ETF EUR Acc;Amundi Luxembourg S.A.;ACTIONS SECTEUR TECHNOLOGIES;5;0,30%;0,60%;0,90%
LU0568583933;Amundi Funds - Equity Japan Target A EUR Hgd (C);Amundi Luxembourg S.A.;ACTIONS JAPON;4;1,80%;0,60%;2,40%
LU0659579733;Xtrackers - Xtrackers MSCI World Swap UCITS ETF 4C - EUR Hedged;DWS Investment S.A. (ETF);ACTIONS MONDE GDES CAP.;4;0,24%;0,60%;0,84%
LU0675297237;Groupama Avenir Europe NC;Groupama Asset Management;ACTIONS EUROPE MOYENNES CAP.;5;1,80%;0,60%;2,40%
LU0823410724;BNP Paribas Funds US Small Cap Classic EURC;BNP Paribas Asset Management Luxembourg;ACTIONS ETATS-UNIS PETITES CAP.;5;1,75%;0,60%;2,35%
LU0823411706;BNP Paribas Funds Consumer InnovatorsClassic Capitalisation;BNP Paribas Asset Management Luxembourg;ACTIONS SECTEUR BIENS DE CONSOMMATION;5;1,50%;0,60%;2,10%
LU0823413074;BNP Paribas Funds Emerging Equity Classic EUR Capitalisation;BNP Paribas Asset Management Luxembourg;ACTIONS MARCHÉS EMERGENTS;4;1,75%;0,60%;2,35%
LU0823425839;BNP Paribas Funds China Equity Classic EUR Capitalisation;BNP Paribas Asset Management Luxembourg;ACTIONS CHINE;5;1,75%;0,60%;2,35%
LU0826452848;DWS Invest II Global Equity High Conviction Fund LC;DWS Investment S.A.;ACTIONS MONDE GDES CAP.;4;1,50%;0,60%;2,10%
LU0832436512;Amundi Global Equity Quality Income UCITS ETF Dist;Amundi Luxembourg S.A.;ACTIONS SECTEUR DIVIDENDES;4;0,45%;0,60%;1,05%
LU0840617350;Allianz Global Investors Fund - Allianz German Equity AT EUR;Allianz Global Investors GmbH;ACTIONS EUROPE HORS UK GDES CAP.;4;1,80%;0,60%;2,40%
LU0870553459;DNCA Invest SRI Europe Growth Class B shares EUR;DNCA Finance;ACTIONS EUROPE FLEX CAP;4;2,40%;0,60%;3,00%
LU0880062913;JPMorgan Funds - Global Healthcare Fund A (acc) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS SECTEUR SANTE;4;1,50%;0,60%;2,10%
LU0914729966;Mirova Funds - Mirova Global Sustainable Equity Fund R/A (EUR);Natixis Investment Managers International;ACTIONS MONDE GDES CAP.;4;1,60%;0,60%;2,20%
LU0914733059;Mirova Funds - Mirova Europe Environmental Equity Fund R/A (EUR);Natixis Investment Managers International;ACTIONS SECTEUR ENVIRONNEMENT;4;1,60%;0,60%;2,20%
LU0950372838;BNP Paribas Funds Nordic Small Cap Classic Capitalisation;BNP Paribas Asset Management Luxembourg;ACTIONS EUROPE DU NORD PETITES & MOY. CAP.;5;1,75%;0,60%;2,35%
LU0959211243;Amundi S&P 500 II UCITS ETF EUR Hedged Dist;Amundi Luxembourg S.A.;ACTIONS ETATS-UNIS GDES CAP. MIXTE;5;0,09%;0,60%;0,69%
LU1048684796;Fidelity Funds - Emerging Markets Fund A-Acc-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS MARCHÉS EMERGENTS;4;1,50%;0,60%;2,10%
LU1100076808;Clartan Europe C;Clartan Associés;ACTIONS EUROPE GDES CAP. MIXTE;4;1,80%;0,60%;2,40%
LU1103303167;Edmond de Rothschild Fund - US Value A EUR;Edmond de Rothschild Asset Management (Lux);ACTIONS ETATS-UNIS FLEX CAP;5;1,70%;0,60%;2,30%
LU1112178824;SSGA Luxembourg SICAV - State Street Europe Small Cap Screened Equity Fund P EUR Acc;State Street Global Advisors Europe Limited;ACTIONS EUROPE HORS UK PETITES & MOY. CAP.;4;1,50%;0,60%;2,10%
LU1160356009;Edmond de Rothschild Fund - Healthcare A EUR;Edmond de Rothschild Asset Management (Lux);ACTIONS SECTEUR SANTE;4;1,70%;0,60%;2,30%
LU1183791794;Sycomore Fund SICAV - Sycomore Europe Eco Solutions R EUR;Sycomore Asset Management;ACTIONS SECTEUR ENVIRONNEMENT;4;2,00%;0,60%;2,60%
LU1220932716;Madeleine Europa One R;Cholet Dupont Asset Management;ACTIONS EUROPE GDES CAP. MIXTE;4;1,80%;0,60%;2,40%
LU1244893696;Edmond de Rothschild Fund - Big Data A-EUR accumulating;Edmond de Rothschild Asset Management (Lux);ACTIONS SECTEUR TECHNOLOGIES;4;1,60%;0,60%;2,20%
LU1261432659;Fidelity Funds - World Fund A-Acc-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS MONDE GDES CAP.;4;1,50%;0,60%;2,10%
LU1279334210;Pictet - Robotics P EUR;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR TECHNOLOGIES;5;2,40%;0,60%;3,00%
LU1287023003;Amundi Euro Government Bond 5-7Y UCITS ETF Acc;Amundi Luxembourg S.A.;OBLIGATIONS D'ETAT EUR;3;0,17%;0,60%;0,77%
LU1287023185;Amundi Euro Government Bond 7-10Y UCITS ETF Acc;Amundi Luxembourg S.A.;OBLIGATIONS D'ETAT EUR;3;0,17%;0,60%;0,77%
LU1287023268;Amundi Euro Government Bond 15+Y UCITS ETF Acc;Amundi Luxembourg S.A.;OBLIGATIONS D'ETAT EUR;4;0,17%;0,60%;0,77%
LU1291097779;BNP Paribas Easy MSCI Emerging Min TE UCITS ETF EUR Cap;BNP Paribas Asset Management Luxembourg;ACTIONS MARCHÉS EMERGENTS MONDE;4;0,13%;0,60%;0,73%
LU1291099478;BNP Paribas Easy MSCI Europe Min TE Track Privilege Cap;BNP Paribas Asset Management Luxembourg;ACTIONS EUROPE GDES CAP. MIXTE;4;0,03%;0,60%;0,63%
LU1301026388;Sycomore Fund SICAV - Sycomore Europe Happy@Work RC EUR;Sycomore Asset Management;ACTIONS EUROPE ZONE EURO;4;2,00%;0,60%;2,60%
LU1303940784;Mandarine Funds - Mandarine Europe Microcap R;Mandarine Gestion;ACTIONS EUROPE HORS UK PETITES & MOY. CAP.;4;1,95%;0,60%;2,55%
LU1313771856;Candriam Sustainable Equity Europe C Acc EUR;Candriam;ACTIONS EUROPE GDES CAP. MIXTE;4;1,50%;0,80%;2,30%
LU1329694266;Mandarine Funds - Mandarine Global Microcap R;Mandarine Gestion;ACTIONS MONDE PETITES & MOY. CAP.;4;1,95%;0,60%;2,55%
LU1366712518;DNCA Invest Archer Mid-Cap Europe Class B shares EUR;DNCA Finance;ACTIONS EUROPE MOYENNES CAP.;4;2,00%;0,60%;2,60%
LU1377382368;BNP Paribas Easy Low Carbon 100 Europe PAB® UCITS ETF;BNP Paribas Asset Management Luxembourg;ACTIONS EUROPE GDES CAP. MIXTE;4;0,18%;0,60%;0,78%
LU1379104976;Claresco Foncier Valor P;Claresco Finance;IMMOBILIER - INDIRECT EUROPE;5;2,40%;0,60%;3,00%
LU1407890620;Amundi US Treasury Bond Long Dated UCITS ETF Dist;Amundi Luxembourg S.A.;OBLIGATIONS USA;4;0,07%;0,60%;0,67%
LU1434523954;Candriam Sustainable Equity Emerging Markets C EUR Acc;Candriam;ACTIONS MARCHÉS EMERGENTS;4;1,60%;0,60%;2,20%
LU1435356149;Amundi Index Solution - Amundi USD High Yield Corporate Bond ESG UCITS ETF Dist;Amundi Luxembourg S.A.;OBLIGATIONS USA HAUT RENDEMENT;3;0,25%;0,60%;0,85%
LU1435385163;Natixis International Funds (Lux) I - Loomis Sayles U.S. Growth Equity Fund R/A (EUR);Natixis Investment Managers International;ACTIONS ETATS-UNIS GDES CAP. CROISSANCE;5;1,75%;0,60%;2,35%
LU1435385593;Natixis International Funds (Lux) I - Loomis Sayles U.S. Growth Equity Fund R/A (H-EUR);Natixis Investment Managers International;ACTIONS ETATS-UNIS GDES CAP. CROISSANCE;5;1,75%;0,60%;2,35%
LU1530899142;CPR Invest - Global Disruptive Opportunities Class A EUR Acc;CPR Asset Management;ACTIONS THEMATIQUES;5;2,00%;0,60%;2,60%
LU1536921650;AXA World Funds - Robotech A Capitalisation EUR;AXA Investment Managers Paris S.A.;ACTIONS SECTEUR TECHNOLOGIES;5;1,50%;0,60%;2,10%
LU1548497772;Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT (H2-EUR);Allianz Global Investors GmbH;ACTIONS SECTEUR TECHNOLOGIES;6;2,05%;0,60%;2,65%
LU1598689153;Amundi MSCI EMU Small Cap ESG Broad Transition UCITS ETF DIST;Amundi Luxembourg S.A.;ACTIONS ZONE EURO PETITES CAP.;4;0,30%;0,60%;0,90%
LU1598690169;Amundi MSCI EMU Value Factor ETF Distribution;Amundi Luxembourg S.A.;ACTIONS EUROPE ZONE EURO;5;0,30%;0,60%;0,90%
LU1611031870;Groupama Avenir PME Europe NC;Groupama Asset Management;ACTIONS ZONE EURO PETITES CAP.;5;2,50%;0,60%;3,10%
LU1616921158;Eleva Euroland Selection A2 (EUR) acc;Eleva Capital S.A.S.;ACTIONS EUROPE ZONE EURO;4;2,00%;0,60%;2,60%
LU1648467097;SSGA Luxembourg SICAV - State Street Emerging Markets Screened Enhanced Equity Fund P EUR;State Street Global Advisors Europe Limited;ACTIONS MARCHÉS EMERGENTS;4;0,95%;0,60%;1,55%
LU1650487413;Amundi Euro Government Bond 1-3Y UCITS ETF Acc;Amundi Luxembourg S.A.;OBLIGATIONS D'ETAT EUR COURT TERME;2;0,17%;0,60%;0,77%
LU1650488494;Amundi Euro Government Bond 3-5Y UCITS ETF Acc;Amundi Luxembourg S.A.;OBLIGATIONS D'ETAT EUR;2;0,17%;0,60%;0,77%
LU1650491282;Amundi Euro Government Inflation-Linked Bond UCITS ETF Acc;Amundi Luxembourg S.A.;OBLIGATIONS EURO INFLATION;3;0,09%;0,60%;0,69%
LU1650492173;Amundi FTSE 100 UCITS ETF Acc;Amundi Luxembourg S.A.;ACTIONS ROYAUME-UNI;4;0,14%;0,60%;0,74%
LU1665237704;M&G (Lux) Global Listed Infrastructure Fund EUR A Acc;M&G Luxembourg S.A.;SECTEUR INFRASTRUCTURES;4;1,75%;0,60%;2,35%
LU1670710075;M&G (Lux) Global Dividend Fund EUR A Acc;M&G Luxembourg S.A.;ACTIONS SECTEUR DIVIDENDES;4;1,75%;0,60%;2,35%
LU1670715207;M&G (Lux) Global Sustain Paris Aligned Fund EUR A Acc;M&G Luxembourg S.A.;ACTIONS MONDE GDES CAP.;4;1,75%;0,60%;2,35%
LU1670715975;M&G (Lux) Japan Smaller Companies Fund EUR A Acc;M&G Luxembourg S.A.;ACTIONS JAPON;4;1,50%;0,60%;2,10%
LU1681037864;Amundi Index Solutions - Amundi Japan Topix UCITS ETF-C EUR Hedged;Amundi Luxembourg S.A.;ACTIONS JAPON;4;0,38%;0,60%;0,98%
LU1681038599;Amundi Index Solutions - Amundi Nasdaq-100 ETF-C EUR Hedged;Amundi Luxembourg S.A.;ACTIONS ETATS-UNIS GDES CAP. CROISSANCE;5;0,25%;0,60%;0,85%
LU1681038672;Amundi Index Solutions - Amundi Russell 2000 ETF-C EUR;Amundi Luxembourg S.A.;ACTIONS ETATS-UNIS PETITES CAP.;5;0,25%;0,60%;0,85%
LU1681042518;Amundi Index Solutions - Amundi MSCI Europe Value Factor UCITS ETF-C;Amundi Luxembourg S.A.;"ACTIONS EUROPE GDES CAP. ""VALUE""";4;0,13%;0,60%;0,73%
LU1681042864;Amundi PEA MSCI USA ESG Selection UCITS ETF - EUR;Amundi Luxembourg S.A.;ACTIONS ETATS-UNIS GDES CAP. MIXTE;5;0,18%;0,60%;0,78%
LU1681044647;Amundi Index Solutions - Amundi MSCI Nordic UCITS ETF- C;Amundi Luxembourg S.A.;ACTIONS EUROPE DU NORD;4;0,15%;0,60%;0,75%
LU1681044720;Amundi Index Solutions - Amundi MSCI Switzerland UCITS ETF-C EUR;Amundi Luxembourg S.A.;ACTIONS SUISSE;4;0,15%;0,60%;0,75%
LU1681045370;Amundi Index Solutions - Amundi MSCI Emerging Markets UCITS ETF-C EUR;Amundi Luxembourg S.A.;ACTIONS MARCHÉS EMERGENTS;4;0,10%;0,60%;0,70%
LU1681046691;Amundi Index Solutions - Amundi Govt Bond Highest Rated Euro Investment Grade Ucits ETF EUR C;Amundi Luxembourg S.A.;OBLIGATIONS D'ETAT EUR;3;0,07%;0,60%;0,67%
LU1681046931;Amundi Index Solutions - AMUNDI CAC 40 ESG UCITS ETF;Amundi Luxembourg S.A.;ACTIONS FRANCE;5;0,15%;0,60%;0,75%
LU1684369710;AXA World Funds - Digital Economy A Capitalisation EUR (Hedged);AXA Investment Managers Paris S.A.;ACTIONS SECTEUR TECHNOLOGIES;5;1,50%;0,60%;2,10%
LU1686832194;Amundi Euro Government Bond 25+Y UCITS ETF Acc;Amundi Luxembourg S.A.;OBLIGATIONS D'ETAT EUR;4;0,03%;0,60%;0,63%
LU1691909508;Amundi Global Gender Equality ETF Accumulation;Amundi Luxembourg S.A.;ACTIONS MONDE GDES CAP.;4;0,10%;0,60%;0,70%
LU1753045332;BNP Paribas Easy MSCI Europe SRI PAB UCITS ETF Capitalisation;BNP Paribas Asset Management Luxembourg;ACTIONS EUROPE GDES CAP. MIXTE;4;0,13%;0,60%;0,73%
LU1809976522;LO Funds - World Brands Fund (EUR) P A;Lombard Odier Funds (Europe) SA;ACTIONS SECTEUR BIENS DE CONSOMMATION;4;0,96%;0,60%;1,56%
LU1812090543;Amundi Index Solution - Amundi EUR High Yield Corporate Bond ESG UCITS ETF Dist;Amundi Luxembourg S.A.;OBLIGATIONS EURO HAUT RENDEMENT;3;0,15%;0,60%;0,75%
LU1812091194;Amundi Index Solutions - Amundi FTSE EPRA Europe Real Estate UCITS ETF D;Amundi Luxembourg S.A.;IMMOBILIER - INDIRECT EUROPE;5;0,20%;0,60%;0,80%
LU1812092168;Amundi Stoxx Europe Select Dividend 30 UCITS ETF D;Amundi Luxembourg S.A.;ACTIONS SECTEUR DIVIDENDES;5;0,20%;0,60%;0,80%
LU1819480192;Echiquier Artificial Intelligence B EUR;La Financière de l'Echiquier;ACTIONS SECTEUR TECHNOLOGIES;6;1,65%;0,60%;2,25%
LU1829218749;Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Acc;Amundi Luxembourg S.A.;DIVERSIFIES;4;0,35%;0,60%;0,95%
LU1829218822;Amundi EUR Corporate Bond ex-Financials ESG UCITS ETF Acc;Amundi Luxembourg S.A.;OBLIGATIONS D'ENTREPRISE EUR;2;0,20%;0,60%;0,80%
LU1829219127;Amundi EUR Corporate Bond Climate Paris Aligned UCITS ETF Acc;Amundi Luxembourg S.A.;OBLIGATIONS D'ENTREPRISE EUR;2;0,14%;0,60%;0,74%
LU1829219390;Amundi Euro Stoxx Banks UCITS ETF Acc;Amundi Luxembourg S.A.;ACTIONS SECTEUR FINANCIER;6;0,30%;0,60%;0,90%
LU1829221024;Amundi Nasdaq-100 II UCITS ETF Acc;Amundi Luxembourg S.A.;ACTIONS ETATS-UNIS GDES CAP. CROISSANCE;5;0,22%;0,60%;0,82%
LU1832174962;Indépendance AM Europe Small A (C);Indépendance AM;ACTIONS EUROPE HORS UK PETITES & MOY. CAP.;4;1,95%;0,60%;2,55%
LU1832418773;Amundi FTSE EPRA/NAREIT Global Developed UCITS ETF D;Amundi Luxembourg S.A.;IMMOBILIER - INDIRECT MONDE;5;0,35%;0,60%;0,95%
LU1834983477;Multi Units Luxembourg - Amundi STOXX Europe 600 Banks UCITS ETF Acc;Amundi Luxembourg S.A.;ACTIONS SECTEUR FINANCIER;5;0,20%;0,60%;0,80%
LU1834986900;Multi Units Luxembourg - Amundi STOXX Europe 600 Healthcare UCITS ETF Acc;Amundi Luxembourg S.A.;ACTIONS SECTEUR SANTE;4;0,20%;0,60%;0,80%
LU1834988278;Multi Units Luxembourg - Amundi STOXX Europe 600 Energy ESG Screened UCITS ETF Acc;Amundi Luxembourg S.A.;ACTIONS SECTEUR ENERGIE;5;0,20%;0,60%;0,80%
LU1861138961;Amundi MSCI Emerging Markets SRI Climate Paris Aligned - UCITS ETF DR (C);Amundi Luxembourg S.A.;ACTIONS MARCHÉS EMERGENTS MONDE;4;0,15%;0,60%;0,75%
LU1864481624;Candriam Equities L Oncology Fund Class CH EUR Cap;Candriam;ACTIONS SECTEUR SANTE;4;1,60%;0,60%;2,20%
LU1865149808;Allianz Global Investors Fund - Allianz Climate Transition Europe AT EUR;Allianz Global Investors GmbH;ACTIONS SECTEUR ENVIRONNEMENT;4;2,35%;0,60%;2,95%
LU1876459303;Axiom European Banks Equity RC EUR(v);Axiom Alternative Investments;ACTIONS SECTEUR BANCAIRE;6;1,65%;0,80%;2,45%
LU1900068328;Amundi MSCI AC Asia Pacific Ex Japan UCITS ETF Acc;Amundi Luxembourg S.A.;ACTIONS ASIE-PACIFIQUE HORS JAPON;4;0,60%;0,60%;1,20%
LU1900068914;Amundi MSCI China ESG Selection Extra UCITS ETF Acc;Amundi Luxembourg S.A.;ACTIONS CHINE;5;0,65%;0,60%;1,25%
LU1919842267;ODDO BHF Artificial Intelligence CR-EUR;ODDO BHF Asset Management SAS;THEMATIQUES INTELLIGENCE ARTIFICIELLE;5;1,60%;0,60%;2,20%
LU1920211973;Eleva Absolute Return Europe A2 (EUR) acc;Eleva Capital S.A.S.;PERFORMANCE ABSOLUE EUR;2;2,20%;0,60%;2,80%
LU1920214563;Eleva Leaders Small & Mid-Cap Europe A2 (EUR) acc;Eleva Capital S.A.S.;ACTIONS EUROPE MOYENNES CAP.;4;2,20%;0,60%;2,80%
LU1951200481;Natixis International Funds (Lux) I - Thematics AI and Robotics Fund R/A (EUR);Natixis Investment Managers International;ACTIONS SECTEUR TECHNOLOGIES;5;2,00%;0,60%;2,60%
LU1951204046;Natixis International Funds (Lux) I - Thematics Meta Fund R/A (EUR);Natixis Investment Managers International;ACTIONS THEMATIQUES;4;2,00%;0,60%;2,60%
LU1951225553;Natixis International Funds (Lux) I - Thematics Safety Fund R/A (EUR);Natixis Investment Managers International;ACTIONS ETATS-UNIS FLEX CAP;5;2,00%;0,60%;2,60%
LU2004923152;Synchrony (LU) Swiss All Caps (CHF) A EUR;Banque Cantonale de Genève;ACTIONS SUISSE;4;1,50%;0,60%;2,10%
LU2023678282;Amundi MSCI Disruptive Technology UCITS ETF Acc;Amundi Luxembourg S.A.;THEMATIQUES TECHNOLOGIE;5;0,35%;0,60%;0,95%
LU2023678449;Amundi MSCI Millennials UCITS ETF Acc;Amundi Luxembourg S.A.;ACTIONS THEMATIQUES;5;0,35%;0,60%;0,95%
LU2052475568;Mandarine Funds - Mandarine Social Leaders R;Mandarine Gestion;ACTIONS EUROPE GDES CAP. MIXTE;4;2,20%;0,60%;2,80%
LU2066958898;CS Investment Funds 2 - UBS (Lux) Germany Small and Mid Cap Equity Fund P acc;UBS Asset Management (Europe) S.A.;ACTIONS EUROPE HORS UK PETITES & MOY. CAP.;5;1,92%;0,60%;2,52%
LU2095319849;Natixis International Funds (Lux) I - Thematics Subscription Economy Fund R/A (EUR);Natixis Investment Managers International;ACTIONS THEMATIQUES;5;2,00%;0,60%;2,60%
LU2194447293;BNP PARIBAS EASY - ECPI Global ESG Blue Economy UCITS ETF Cap;BNP Paribas Asset Management Luxembourg;ACTIONS THEMATIQUES;4;0,18%;0,60%;0,78%
LU2195226068;Amundi S&P Eurozone Climate Paris Aligned UCITS ETF Acc;Amundi Luxembourg S.A.;ACTIONS EUROPE ZONE EURO;5;0,20%;0,60%;0,80%
LU2221884310;Edmond de Rothschild Fund - Human Capital A EUR;Edmond de Rothschild Asset Management (Lux);ACTIONS MONDE GDES CAP.;4;1,50%;0,60%;2,10%
